movie_id,title,year,genres,overview_clean,poster_url,rating,vote_count
19995,Avatar,2009,"[""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""]",century paraplegic marine dispatched moon pandora unique mission becomes torn following order protecting alien civilization,https://image.tmdb.org/t/p/w500/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,7.2,11800
285,Pirates of the Caribbean: At World's End,2007,"[""Adventure"", ""Fantasy"", ""Action""]",captain barbossa long believed dead come back life headed edge earth turner elizabeth swann nothing quite seems,https://image.tmdb.org/t/p/w500/jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,6.9,4500
206647,Spectre,2015,"[""Action"", ""Adventure"", ""Crime""]",cryptic message bond past sends trail uncover sinister organization battle political force keep secret service alive bond peel back layer deceit reveal terrible truth behind spectre,https://image.tmdb.org/t/p/w500/zj8ongFhtWNsVlfjOGo8pSr7PQg.jpg,6.3,4466
49026,The Dark Knight Rises,2012,"[""Action"", ""Crime"", ""Drama"", ""Thriller""]",following death district attorney harvey dent batman assumes responsibility dent crime protect late attorney reputation subsequently hunted gotham city police department eight year later batman encounter mysterious selina kyle villainous bane new terrorist leader overwhelms gotham finest dark knight resurfaces protect city branded enemy,https://image.tmdb.org/t/p/w500/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,7.6,9106
49529,John Carter,2012,"[""Action"", ""Adventure"", ""Science Fiction""]",john carter war weary former military captain inexplicably transported mysterious exotic planet barsoom mar reluctantly becomes embroiled epic conflict world brink collapse carter rediscovers humanity realizes survival barsoom people rest hand,https://image.tmdb.org/t/p/w500/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg,6.1,2124
559,Spider-Man 3,2007,"[""Fantasy"", ""Action"", ""Adventure""]",seemingly invincible spider man go new crop villain including shape shifting sandman spider man superpower altered alien organism alter ego peter parker deal nemesis eddie brock also get caught love triangle,https://image.tmdb.org/t/p/w500/qFmwhVUoUSXjkKRmca5yGDEXBIj.jpg,5.9,3576
38757,Tangled,2010,"[""Animation"", ""Family""]",kingdom wanted charming bandit flynn rider hide mysterious tower taken hostage rapunzel beautiful feisty tower bound teen foot magical golden hair flynn curious captor looking ticket tower locked away year strike deal handsome thief unlikely duo set action packed escapade complete super cop horse protective chameleon gruff gang pub thug,https://image.tmdb.org/t/p/w500/ym7Kst6a4uodryxqbGOxmewF235.jpg,7.4,3330
99861,Avengers: Age of Ultron,2015,"[""Action"", ""Adventure"", ""Science Fiction""]",tony stark try jumpstart dormant peacekeeping program thing awry earth mightiest hero put ultimate test fate planet hang balance villainous ultron emerges avenger stop enacting terrible plan soon uneasy alliance unexpected action pave way epic unique global adventure,https://image.tmdb.org/t/p/w500/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,7.3,6767
767,Harry Potter and the Half-Blood Prince,2009,"[""Adventure"", ""Fantasy"", ""Family""]",harry begin sixth year hogwarts discovers old book marked property half blood prince begin learn lord voldemort dark past,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,7.4,5293
209112,Batman v Superman: Dawn of Justice,2016,"[""Action"", ""Adventure"", ""Fantasy""]",fearing action god like super hero left unchecked gotham city formidable forceful vigilante take metropolis revered modern day savior world wrestle sort hero really need batman superman war one another new threat quickly arises putting mankind greater danger ever known,https://image.tmdb.org/t/p/w500/5UsK3grJvtQrtzEgqNlDljJW96w.jpg,5.7,7004
1452,Superman Returns,2006,"[""Adventure"", ""Fantasy"", ""Action"", ""Science Fiction""]",superman return discover year absence allowed lex luthor walk free closest felt abandoned moved luthor plot ultimate revenge could see million killed change face planet forever well ridding man steel,https://image.tmdb.org/t/p/w500/385XwTQZDpRX2d3kxtnpiLrjBXw.jpg,5.4,1400
10764,Quantum of Solace,2008,"[""Adventure"", ""Action"", ""Thriller"", ""Crime""]",quantum solace continues adventure james bond casino royale betrayed vesper woman loved fight urge make latest mission personal pursuing determination uncover truth bond interrogate white reveals organization blackmailed vesper far complex dangerous anyone imagined,https://image.tmdb.org/t/p/w500/e3DXXLJHGqMx9yYpXsql1XNljmM.jpg,6.1,2965
58,Pirates of the Caribbean: Dead Man's Chest,2006,"[""Adventure"", ""Fantasy"", ""Action""]",captain jack sparrow work way blood debt ghostly davey jones also attempt avoid eternal damnation,https://image.tmdb.org/t/p/w500/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,7.0,5246
57201,The Lone Ranger,2013,"[""Action"", ""Adventure"", ""Western""]",texas ranger chase gang outlaw led butch cavendish gang ambush ranger seemingly killing one survivor found however american indian named tonto nurse back health ranger donning mask riding white stallion named silver team tonto bring unscrupulous gang others ilk justice,https://image.tmdb.org/t/p/w500/inABvhkFvz54jSEa6qoe8afIHwj.jpg,5.9,2311
49521,Man of Steel,2013,"[""Action"", ""Adventure"", ""Fantasy"", ""Science Fiction""]",young boy learns extraordinary power earth young man journey discover came sent hero must emerge save world annihilation become symbol hope mankind,https://image.tmdb.org/t/p/w500/cB46TSg3kGjq2eVy5kVUhlpUa1H.jpg,6.5,6359
2454,The Chronicles of Narnia: Prince Caspian,2008,"[""Adventure"", ""Family"", ""Fantasy""]",one year incredible adventure lion witch wardrobe peter edmund lucy susan pevensie return narnia aid young prince whose life threatened evil king miraz help colorful cast new character including trufflehunter badger nikabrik dwarf pevensie clan embarks incredible quest ensure narnia returned rightful heir,https://image.tmdb.org/t/p/w500/qxz3WIyjZiSKUhaTIEJ3c1GcC9z.jpg,6.3,1630
